Mapping Coverage,97.61

Input Path,Failed Mapping Count
Body.OTC_Matching.Trade.FpML.trade.documentation.contractualTermsSupplement.type.contractualSupplementScheme,1
Body.OTC_Matching.Trade.FpML.trade.documentation.contractualTermsSupplement.type,1
Header.OTC_RM.Manifest.TradeMsg.ProductType,6
Body.OTC_Matching.Trade.FpML.trade.creditDefaultSwap.feeLeg.paymentDelay,1
Body.OTC_Matching.Trade.FpML.trade.creditDefaultSwapOption.europeanExercise.earliestExerciseTime.businessCenter,1
Body.OTC_Matching.Trade.FpML.trade.creditDefaultSwapOption.europeanExercise.expirationTime.businessCenter,1
Body.OTC_Matching.Trade.FpML.trade.creditDefaultSwap.generalTerms.additionalTerm.additionalTermScheme,1
