Mapping Coverage,91.65

Input Path,Failed Mapping Count
trade.repo.bond.description,5
trade.repo.bond.maturity,3
trade.repo.bond.currency,5
trade.repo.bond.id,6
trade.repo.bond.couponRate,2
